"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;",,,,,,";"";7;"";;;
2;"REF**";"jlc_tooling";1;"jlc_tooling";;;
3;"J8,J10,J15,J12,J23,J14,J11,J17,J24,J18,J20,J22,J19,J13,J5,J6,J16,J9,J3,J21,J4";"CON_1x01";21;"Conn_01x01";;;
4;"C1,C3";"C_0603_1608Metric";2;"100n";;;
5;"REF**";"mousebite";1;"mousebite";;;
6;"C2";"C_0603_1608Metric";1;"10µ";;;
7;"U1";"QFN-48-1EP_7x7mm_P0.5mm_EP5.3x5.3mm";1;"ESP32-PICO-D4";;;
8;"AE1";"Texas_SWRA117D_2.4GHz_Left";1;"Antenna_Shield";;;
9;"R1";"R_0603_1608Metric";1;"10K";;;
10;"SW1,SW2";"microswitch";2;"SW_Push";;;
11;"D1";"LED_Cree-PLCC4_2x2mm_CW";1;"WS2812B_Geaendertes_Symbol";;;
12;"J1";"PinHeader_2x04_P2.54mm_Vertical";1;"Conn_02x04_Odd_Even";;;
13;"SM3";"Symbol_kurzschlussblog";1;"SYM_Arrow45_Tiny";;;
