Designator,Mid X,Mid Y,Rotation,Layer
_12,119.0,-112.2,0.0,top
_11,122.8,-91.0,0.0,top
_10,119.0,-98.8,0.0,top
_9,119.0,-96.4,0.0,top
_8,121.4,-113.6,0.0,top
_7,119.0,-113.4,0.0,top
_6,119.0,-98.2,0.0,top
_5,119.0,-97.0,0.0,top
_4,119.0,-98.6,0.0,top
_3,119.0,-97.6,0.0,top
_2,119.0,-112.8,0.0,top
,119.0,-114.0,0.0,top
C1,109.0,-108.65,90.0,top
C2,108.5,-96.5,0.0,top
C3,111.0,-97.0,270.0,top
C4,112.5,-97.0,270.0,top
D1,117.0,-99.34,270.0,top
J1,104.5,-97.79,0.0,top
J10,118.5,-101.18,180.0,top
J11,118.5,-102.45,180.0,top
J12,118.5,-104.99,180.0,top
J13,104.5,-107.95,0.0,top
J14,104.5,-109.22,0.0,top
J15,104.5,-110.49,0.0,top
J16,104.5,-101.6,0.0,top
J17,104.5,-106.68,0.0,top
J18,104.5,-102.87,0.0,top
J19,104.5,-100.33,0.0,top
J2,104.5,-99.06,0.0,top
J20,107.5,-110.725,270.0,bottom
J3,104.5,-105.41,0.0,top
J4,104.5,-104.14,0.0,top
J5,118.5,-107.78,180.0,top
J6,118.5,-110.5,180.0,top
J7,118.5,-109.23,180.0,top
J8_2,118.5,-106.68,180.0,top
J8,118.5,-106.26,180.0,top
J9_2,118.5,-103.72,180.0,top
J9,118.5,-105.41,180.0,top
R1,108.5,-98.0,180.0,top
SM3,111.5985,-100.8985,180.0,bottom
SW1,117.856,-113.284,270.0,top
SW2,105.156,-113.284,90.0,top
U1,111.35,-108.5,180.0,top
U2,111.5,-103.0,270.0,top
